ABL,MCB,ABOT,AICL,AGP,AGIL,ARPL,AKBL,ATLH,APL,ATRL,BAHL,BAFL,BNWM,BWCL,BYCO,CHCC,COLG,DGKC,DAWH,DCR,EFUG,ENGRO,EFERT,EFOODS,EPCL,FATIMA,FCCL,FFC,FFBL,FABL,FHAM,GADT,GHGL,GLAXO,GSKCH,GATM,HBL,HMB,HASCOL,HCAR,IBFL,ICI,IGIHL,INDU,INIL,ISL,JLICL,KEL,KOHC,KTML,KAPCO,LOTCHEM,LUCK,MLCF,MARI,MEBL,MTL,MUREB,NBP,NATF,NRL,NESTLE,NCL,NCPL,NML,OGDC,OLPL,PKGS,PAEL,PSMC,PTC,POL,PPL,PSO,PSX,PAKT,PMPK,PIOC,SPWL,SRVI,SHEL,SHFA,SCBPL,SNGP,SSGC,SYS,THALL,BOP,HUBC,SEARL,UBL
1651,4162,16141,1262,65,12213,36103,4555,41102,4576,1267,22969,1438,1891,2990,142,1824,41577,415,12453,171,3458,-836,418,263,449,153,322,14555,1242,814,10807,1472,51525,1551,418,5304,245,5388,673,11491,2577,3169,15210,29885,21323,420,4819,17,19983,1400,350,351,19523,71,45875,19135,440234,16268,3418,229797,1344,24101,9035,585,7915,661,527,10415,185,780,92,20254,3362,6075,53,34488,284697,140,87,10089,1492,8822,76,678,442,294,271863,96,5473,7931,1443
1629,4149,16341,1246,70,12302,34878,4525,41072,4220,977,23255,1444,1867,2871,145,1868,37628,438,12262,168,3377,-1407,413,267,467,146,296,14702,1250,813,10614,1489,49610,1366,389,5439,242,5441,663,12493,2609,3157,15151,32534,21513,439,5132,16,20530,1448,347,352,20478,66,46243,19110,440374,16100,3480,235021,1437,24638,8944,606,7970,647,534,10203,194,770,97,20321,3387,5855,52,33661,279263,135,91,10595,1287,9120,74,719,468,301,268655,87,5529,7715,1524
1660,4128,17073,1166,71,12516,35512,4559,42598,4320,1285,23016,1494,1842,2763,149,1976,39848,445,12692,165,3139,-1463,408,263,449,144,309,14374,1316,825,10696,1536,49105,1260,370,5441,249,5491,696,12796,2521,3291,15341,34149,21045,379,5321,16,20466,1395,343,363,20817,66,45205,19447,446540,15505,3445,239159,1469,24085,9430,586,8137,638,504,10495,179,645,93,20071,3255,6160,48,33765,288257,138,87,10629,1165,8814,76,678,482,293,278871,89,5377,7741,1547
1636,3877,17425,1179,67,12345,38650,4664,43664,4271,1315,23072,1456,1966,2711,139,2035,39461,418,12887,169,2693,-755,414,257,436,147,261,14071,1267,765,10655,1567,50400,1174,380,5695,255,5551,775,12390,2556,3469,15507,32830,18545,401,5191,15,20117,1396,329,372,21293,61,45845,19712,441142,15848,3411,243232,1382,23311,9659,564,8251,663,477,10519,186,654,98,20036,3180,6616,48,33197,288255,149,84,11081,984,8646,74,701,491,287,288018,86,5211,7402,1580
1685,3737,17907,1171,61,12608,37767,4709,40580,4345,1551,23245,1443,1891,2904,132,1983,38930,442,12563,171,2726,103,418,259,433,143,212,14870,1241,781,10800,1615,47453,895,415,5922,253,5558,813,13213,2662,3563,15406,31233,16300,385,5081,14,21283,1345,331,362,21676,55,47625,19952,434723,15764,3357,247568,1407,24076,9085,535,8270,660,499,10491,169,742,95,20047,3153,6841,49,33212,291551,142,84,11684,1197,8693,75,684,492,291,287798,81,4982,8101,1600
1688,3819,17924,1199,57,12819,36854,4721,41294,4288,1307,23549,1513,1853,2945,144,1907,36772,420,12686,173,2440,1455,423,242,448,137,218,14529,1284,729,10713,1641,47785,998,429,6568,268,5513,835,12227,2638,3461,15744,31594,15160,356,4657,13,22458,1386,318,348,22193,55,46145,20748,416316,15770,3496,253201,1457,22463,9173,571,8324,662,481,10436,170,712,96,20188,3234,6585,44,33996,281741,162,89,12208,1829,9621,74,618,495,292,290593,67,4855,7731,1625
1715,3714,18156,1214,59,12806,39819,4667,39727,4111,1309,23353,1525,1860,2779,140,1922,36624,464,12945,174,2257,2860,423,258,446,141,216,14164,1303,766,10824,1683,48332,951,394,6764,275,5581,816,12251,2581,3444,15419,31659,15734,373,4239,14,22383,1401,314,369,23030,56,46457,21407,401559,16067,3450,254002,1513,21653,9492,559,8949,656,491,10483,173,741,96,19444,3186,6321,44,34403,280538,150,91,12252,1676,8966,71,573,437,296,301803,72,4847,7947,1722
1718,3689,18603,1190,60,13149,40627,4592,38624,4278,1077,23601,1470,1801,2746,145,1807,36019,477,12699,177,2166,4735,423,251,444,140,216,14550,1323,750,10646,1747,49849,1097,364,7193,289,5779,866,13241,2568,3694,15709,31862,17030,370,3999,13,22415,1342,318,348,23003,57,46850,21409,403128,16044,3374,256442,1541,22531,8992,553,9110,671,469,10571,193,744,98,19286,3270,6233,44,33267,276931,125,96,12340,1695,8579,72,620,462,291,297947,67,4999,7902,1680
1731,3494,18841,1114,65,13549,37774,4643,39109,4311,1141,23548,1506,1778,2860,149,1828,37884,500,12801,176,2160,6643,412,260,468,132,262,15074,1297,762,10645,1784,50849,1143,385,7625,282,5787,902,13247,2623,3918,16170,32914,17864,338,4461,13,21478,1379,311,330,23757,62,47390,22034,409006,16255,3292,262400,1583,21584,8646,535,8822,675,475,10579,180,776,94,19733,3173,6480,43,34059,263502,114,91,12635,1456,8178,69,612,467,283,289728,55,4934,7611,1740
1708,3315,19357,1083,63,13401,38617,4714,38232,4551,1025,23576,1554,1678,2978,143,1837,35945,497,13322,175,1862,8034,415,268,477,133,242,14867,1363,726,10770,1841,48987,960,388,7850,294,5731,928,12903,2683,4071,16323,33930,17941,399,4818,13,21738,1378,285,312,24475,63,46443,22226,411122,17114,3284,270296,1544,22669,8507,521,8723,690,458,10476,185,764,96,19353,3240,6598,44,36108,260297,128,91,13072,1766,8382,69,678,474,282,302347,57,4956,7804,1764
